temperature,0c,1c,2c,3c,4c,5c,6c,7c,8c,9c,10c,11c,12c,13c,14c,15c
-40,1.8003037,1.80075929,1.80128674,1.80188268,1.8025063,1.80324277,1.80404178,1.80494654,1.80599952,1.80718517,1.80853713,1.81010678,1.81199565,1.81420755,1.81696832,1.82040691
-30,1.80149298,1.80197927,1.80252638,1.80314469,1.80380346,1.80457545,1.80542745,1.80636428,1.80741728,1.80862105,1.81006814,1.81175888,1.81369323,1.81600643,1.81885799,1.82245477
-20,1.80279953,1.8032687,1.80386127,1.80451055,1.80518514,1.80596361,1.80681238,1.80782946,1.80892852,1.81021287,1.81170269,1.81343843,1.81545932,1.81789628,1.82088025,1.82462958
-10,1.8039202,1.804422,1.80500593,1.80567905,1.8064433,1.80723441,1.80814726,1.80917865,1.81035457,1.81165926,1.81321772,1.81500091,1.81713107,1.81965821,1.82276164,1.82667279
0,1.80525262,1.80579237,1.80641685,1.80708677,1.80787388,1.80871224,1.80967015,1.81071362,1.81193703,1.81331585,1.81491762,1.8167767,1.81893532,1.82157745,1.82479386,1.82882218
10,1.8064311,1.80702143,1.80766541,1.80838444,1.80916313,1.81005556,1.81103884,1.81214128,1.8133994,1.81481163,1.81648193,1.81842012,1.82069492,1.82342316,1.82674324,1.83092676
20,1.80729588,1.80783805,1.80851069,1.80926453,1.81011819,1.81099272,1.81198158,1.813186,1.81447276,1.81593367,1.81763284,1.81966311,1.82201405,1.82483473,1.82828222,1.83264269
30,1.80821976,1.80883037,1.80952107,1.81026639,1.81111692,1.81207674,1.81311197,1.81428956,1.81565112,1.81718019,1.81896017,1.82100973,1.82347622,1.82641457,1.82995954,1.83441664
40,1.80914062,1.80973733,1.81046807,1.81124192,1.81212291,1.81308651,1.8141985,1.81541581,1.81681306,1.81839142,1.8202332,1.82235682,1.82488966,1.82788715,1.83159869,1.83621711
50,1.8098543,1.81049161,1.81122357,1.81202974,1.81295307,1.81394464,1.81506626,1.81633622,1.81775668,1.81940527,1.82128679,1.82351185,1.82613104,1.82921972,1.8330454,1.83781264
60,1.81028496,1.81093039,1.81168035,1.81252531,1.81345289,1.81449402,1.81566556,1.81696852,1.81844357,1.82011665,1.82209626,1.82434733,1.82703331,1.83024038,1.83416787,1.83908799
70,1.81050891,1.81115386,1.81193701,1.81280887,1.81376887,1.81483268,1.81601643,1.81738182,1.81888317,1.82062158,1.82263895,1.82496919,1.82772346,1.8310366,1.83507415,1.8401076
80,1.81047012,1.8111615,1.8119918,1.81288125,1.81383916,1.81492463,1.81616022,1.81754576,1.81911651,1.82088514,1.8229578,1.82535838,1.8281747,1.83155324,1.83572091,1.84091568
90,1.81006423,1.8107685,1.81157372,1.81249071,1.81348616,1.81462175,1.81588578,1.81732226,1.81893086,1.82073781,1.82286447,1.82535229,1.82825847,1.83172822,1.8360218,1.84131248
100,1.80892377,1.80968487,1.81055103,1.81149625,1.81253389,1.81367725,1.81496828,1.81643621,1.81806092,1.81993766,1.8221194,1.82463875,1.82764671,1.83120256,1.83556444,1.84103844
110,1.73155782,1.73379092,1.73643758,1.7394095,1.74255888,1.74615309,1.7500946,1.75450887,1.75959489,1.76528514,1.77204531,1.77975922,1.78892766,1.79972778,1.81314101,1.82973427
120,1.72406688,1.72646538,1.72918572,1.73210361,1.73544206,1.73902116,1.74313972,1.74762268,1.75285391,1.75876404,1.76550652,1.77340441,1.7828014,1.79397797,1.80764991,1.82460813
125,1.72195688,1.72421422,1.72693855,1.7299253,1.73323273,1.7368838,1.74095437,1.74549937,1.75071838,1.75658852,1.76361059,1.77151403,1.78094412,1.79219908,1.80586628,1.82311172
min,1.72195688,1.72421422,1.72693855,1.7299253,1.73323273,1.7368838,1.74095437,1.74549937,1.75071838,1.75658852,1.76361059,1.77151403,1.78094412,1.79219908,1.80586628,1.82040691
max,1.81050891,1.8111615,1.8119918,1.81288125,1.81383916,1.81492463,1.81616022,1.81754576,1.81911651,1.82088514,1.8229578,1.82535838,1.82825847,1.83172822,1.8360218,1.84131248
delta,0.08855203,0.08694728000000018,0.08505324999999986,0.08295594999999989,0.08060642999999978,0.07804082999999995,0.07520584999999991,0.0720463899999999,0.06839813000000006,0.06429661999999992,0.05934720999999987,0.053844349999999874,0.04731434999999995,0.03952913999999996,0.03015551999999988,0.02090557000000004
delta_min,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004,0.02090557000000004
delta - delta_min,0.06764645999999996,0.06604171000000014,0.06414767999999982,0.06205037999999985,0.059700859999999745,0.05713525999999991,0.05430027999999987,0.051140819999999865,0.04749256000000002,0.043391049999999876,0.03844163999999983,0.032938779999999834,0.02640877999999991,0.018623569999999923,0.00924994999999984,0.0
