Setode,C15,C14,C13,C12,C11,C10,C9,C8,C0,C1,C2,C3,C4,C5,C6,C7
125,1.83050024,1.83663187,1.84268548,1.84883992,1.85499735,1.86102334,1.86724937,1.87335751,1.82448684,1.81837409,1.81217978,1.80619354,1.80002347,1.79392775,1.78778478,1.78161658
120,1.83196803,1.8381097,1.8441514,1.85033005,1.85631625,1.86251881,1.86861552,1.87468922,1.82584304,1.81984247,1.81359161,1.80755494,1.80136374,1.79529576,1.7891932,1.78302811
110,1.83668441,1.8429254,1.84902433,1.85519017,1.86126936,1.86737196,1.87353054,1.87962637,1.83059007,1.82449356,1.81837883,1.81221809,1.80604664,1.79997776,1.79384204,1.78763786
100,1.8382369,1.84431949,1.85055514,1.85660699,1.8627009,1.8688534,1.87496704,1.88116792,1.83207918,1.82594779,1.81976079,1.81370922,1.80751985,1.80134403,1.79524398,1.78904545
90,1.83771486,1.84386371,1.84995723,1.85611372,1.86222298,1.86842542,1.87456879,1.88064198,1.83158505,1.82539383,1.81926431,1.81313374,1.80696211,1.80084206,1.79467826,1.78855106
80,1.8358537,1.84205982,1.84814452,1.85439903,1.86043434,1.86662528,1.87274313,1.87886679,1.8297581,1.82368569,1.81750482,1.81143565,1.80522169,1.79912202,1.7929136,1.78675992
70,1.83319353,1.83927096,1.84539208,1.85157202,1.85762024,1.86378597,1.86996116,1.87609067,1.82703707,1.82090353,1.81474682,1.80865056,1.8024715,1.79637421,1.79019951,1.78402678
60,1.82976876,1.83597516,1.84208474,1.84820808,1.8542952,1.86038245,1.86653032,1.87268033,1.82370198,1.81759234,1.8114687,1.80534088,1.7991755,1.79306584,1.78696194,1.78074514
50,1.82559137,1.83162376,1.8378167,1.84388092,1.85001618,1.85618278,1.86227634,1.86830723,1.81949302,1.81328076,1.80717319,1.8010781,1.79497885,1.78887376,1.78274473,1.77658751
40,1.82061845,1.82671947,1.83280001,1.83887918,1.84497667,1.85114392,1.85719023,1.8632769,1.81453014,1.80844021,1.80242523,1.79629404,1.79016682,1.78403199,1.77788827,1.7718251
30,1.81552053,1.82162081,1.82765363,1.83379278,1.83987248,1.8459437,1.85202022,1.85800784,1.80943956,1.80336114,1.79724063,1.79110617,1.78498856,1.77895665,1.77282501,1.76673838
20,1.81023077,1.8163193,1.82235849,1.82840399,1.83444514,1.84055713,1.84659814,1.85259174,1.80418214,1.79805126,1.79197939,1.78594043,1.77988205,1.77378488,1.7678046,1.76167773
10,1.80479167,1.81089574,1.81683377,1.8229507,1.82902086,1.83510663,1.84106213,1.84717181,1.79878908,1.79261326,1.78661285,1.78059504,1.77454143,1.76847125,1.76252295,1.75640889
0,1.79935084,1.80535444,1.81144656,1.8173942,1.82344906,1.82944846,1.83552564,1.84157418,1.79335517,1.78741521,1.7812652,1.77523861,1.76919588,1.76324912,1.7571589,1.75113628
-10,1.79441682,1.80046956,1.80643019,1.81249773,1.81845196,1.82449882,1.83047752,1.83652044,1.78830277,1.78236595,1.77629602,1.77031489,1.76437244,1.75835851,1.75220086,1.74621117
-20,1.78809397,1.79418426,1.80013722,1.80614764,1.81209816,1.81802936,1.82406241,1.83003871,1.782135,1.77617116,1.77020363,1.76415416,1.75813453,1.75208488,1.74610908,1.74020944
-30,1.78207177,1.78805231,1.79407195,1.80001214,1.8059537,1.81198533,1.81790798,1.8238784,1.77613954,1.77024908,1.76417701,1.75822054,1.75231785,1.74625931,1.74029048,1.73430706
-40,1.77603794,1.78193006,1.78795237,1.79384786,1.79984123,1.80574755,1.81177433,1.81766553,1.77014434,1.76409776,1.75817585,1.75221162,1.74628729,1.74033222,1.73438998,1.72836745
,,,,,,,,,,,,,,,,
MIN,1.77603794,1.78193006,1.78795237,1.79384786,1.79984123,1.80574755,1.81177433,1.81766553,1.77014434,1.76409776,1.75817585,1.75221162,1.74628729,1.74033222,1.73438998,1.72836745
MAX,1.8382369,1.84431949,1.85055514,1.85660699,1.8627009,1.8688534,1.87496704,1.88116792,1.83207918,1.82594779,1.81976079,1.81370922,1.80751985,1.80134403,1.79524398,1.78904545
DELTA,0.06219896,0.06238943,0.06260277,0.06275913,0.06285967,0.06310585,0.06319271,0.06350239,0.06193484,0.06185003,0.06158494,0.0614976,0.06123256,0.06101181,0.060854,0.060678
,0.02296206,0.01706994,0.01104763,0.00515214,-0.00084123,-0.00674755,-0.01277433,-0.01866553,0.02885566,0.03490224,0.04082415,0.04678838,0.05271271,0.05866778,0.06461002,0.07063255
,0.0392369,0.04531949,0.05155514,0.05760699,0.0637009,0.0698534,0.07596704,0.08216792,0.03307918,0.02694779,0.02076079,0.01470922,0.00851985,0.00234403,-0.00375602,-0.00995455
